transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted
Transcript_CTD,lstm,200,128,0.3,0.0,64,0.001,0.5383064516129032,0.06720698919355055,0.41569668605755217,0.11266815921355887,0.501929963923652,0.08202689627180025,0.44946827853948595,0.1136351801292077,0.4697118241235888,0.13651587115334565,0.5443887029203305,0.09302167761278402,0.5383064516129032,0.06720698919355055
Transcript_CTD,bilstm,100,64,0.3,0.0,0,0.001,0.513508064516129,0.06542827967689223,0.30826127904627193,0.05831917298647374,0.4494761455818037,0.058437609437351774,0.3179717813051146,0.08892647087719857,0.34376856803327394,0.053364390662354405,0.44578746373101213,0.09667647161100465,0.513508064516129,0.06542827967689223
Transcript_CTD,bilstm,100,64,0.3,0.0,64,0.001,0.5058467741935484,0.09041703730357162,0.32570324914227355,0.09387441254399902,0.4309689176333551,0.1308186841249066,0.291589474870408,0.10006057712132888,0.40256981580511,0.0902688533764222,0.3926520463232568,0.14491938277695623,0.5058467741935484,0.09041703730357162
Transcript_CTD,bilstm,100,128,0.3,0.0,0,0.001,0.5381048387096774,0.10449773957096992,0.3569722633038065,0.12787479005469918,0.4777213652934723,0.1303437608692896,0.3359816653934301,0.14497463325495744,0.3996657754010695,0.10379126652832661,0.44676667862892955,0.15317077707174748,0.5381048387096774,0.10449773957096992
Transcript_CTD,bilstm,100,128,0.3,0.0,64,0.001,0.551008064516129,0.04772565382788011,0.320882099587863,0.07599355395181186,0.4703633529158253,0.08518747436321583,0.35520987654320985,0.1456873485792309,0.36993464052287583,0.04861049321296754,0.4981161887694146,0.17296408599578356,0.551008064516129,0.04772565382788011
Transcript_CTD,bilstm,200,64,0.3,0.0,0,0.001,0.4991935483870968,0.0978568471749517,0.3204463836816778,0.06571312628564821,0.45037885211983886,0.09546296477512227,0.32382008490704145,0.07503469099752536,0.3469102792632205,0.06507724386608135,0.44097286858770035,0.10683249765990334,0.4991935483870968,0.0978568471749517
Transcript_CTD,bilstm,200,64,0.3,0.0,64,0.001,0.5191532258064516,0.08913479515069112,0.355061047448724,0.09692523983486122,0.4687636358998528,0.10605978628194838,0.3490052053209948,0.10877801212425213,0.4051099227569816,0.0879355752836462,0.4585023954893438,0.12183565537022636,0.5191532258064516,0.08913479515069112
Transcript_CTD,bilstm,200,128,0.3,0.0,0,0.001,0.5836693548387097,0.11202495378508982,0.3874394645786836,0.14893219313683342,0.5233786949903232,0.13909289611652242,0.4052704242379187,0.2188299648435476,0.4196598336304219,0.12343109156345704,0.5036252794107963,0.17263236732384327,0.5836693548387097,0.11202495378508982
Transcript_CTD,bilstm,200,128,0.3,0.0,64,0.001,0.4417338709677419,0.10162650318614681,0.28203517266648237,0.07448894051410292,0.38041494599119147,0.09201749461994357,0.2956390276390276,0.08816881709714458,0.33321449792038027,0.07110433032169934,0.4027160017401953,0.09165112603487809,0.4417338709677419,0.10162650318614681
Transcript_SFT,lstm,100,64,0.3,0.0,0,0.001,0.5195698924731182,0.035333012649151084,0.38480912148057056,0.05040443547558156,0.47652896952119433,0.05746338898551032,0.4025946275946276,0.054217074020231765,0.42436868686868684,0.057200119207777345,0.49547825830083897,0.06920810654621126,0.5195698924731182,0.035333012649151084
Transcript_SFT,lstm,100,64,0.3,0.0,64,0.001,0.4395698924731183,0.1219364320761145,0.3079653545927607,0.10733071637937587,0.38923118169316373,0.11867916081318802,0.3516625966625966,0.16447566843066402,0.3411868686868687,0.10560971376568166,0.4323432272106886,0.17877565808690013,0.4395698924731183,0.1219364320761145
Transcript_SFT,lstm,100,128,0.3,0.0,0,0.001,0.5258064516129032,0.03933779524008422,0.319590960078765,0.06811843369118845,0.417942883674591,0.041779156606672925,0.4108292282430213,0.15118402449600743,0.40156565656565657,0.08740893055460597,0.5133459222769567,0.16729130663632116,0.5258064516129032,0.03933779524008422
Transcript_SFT,lstm,100,128,0.3,0.0,64,0.001,0.4935483870967742,0.021878483816533123,0.260367307294571,0.06886344131094985,0.36786436730763233,0.04308526836594484,0.21959378733572282,0.0941504586761726,0.35,0.04448782605013046,0.3118202489690523,0.09383386200759117,0.4935483870967742,0.021878483816533123
Transcript_SFT,lstm,200,64,0.3,0.0,0,0.001,0.4929032258064516,0.05398492015047906,0.3309185794362869,0.0674770603557214,0.4452915117010329,0.054847660756565504,0.33232244008714595,0.08994150800346314,0.35770202020202013,0.05735737424932797,0.43591873738742803,0.08927024225762295,0.4929032258064516,0.05398492015047906
Transcript_SFT,lstm,200,64,0.3,0.0,64,0.001,0.4395698924731183,0.10636229553698683,0.26646160575153494,0.0715249913771146,0.3663168377212437,0.11593075954715584,0.2743875086266391,0.10164991889697345,0.3232323232323232,0.06850023850496596,0.3725547040227966,0.15226108979178038,0.4395698924731183,0.10636229553698683
Transcript_SFT,lstm,200,128,0.3,0.0,0,0.001,0.4726881720430107,0.08608760900977698,0.3492980187980188,0.09806245520267255,0.41790314740577894,0.09252653335196613,0.3531009891879457,0.11272580297848034,0.4187626262626263,0.10963475085036231,0.4312601200679742,0.1089773154311152,0.4726881720430107,0.08608760900977698
Transcript_SFT,lstm,200,128,0.3,0.0,64,0.001,0.4929032258064517,0.07167003436496891,0.30867922086010713,0.08017646591882624,0.43148742520799777,0.1037979900885135,0.31486045923386075,0.09154240998530562,0.3521969696969697,0.05020597051709801,0.4360823721008524,0.11952422865668337,0.4929032258064517,0.07167003436496891
Transcript_SFT,bilstm,100,64,0.3,0.0,0,0.001,0.5180645161290323,0.12863451241682766,0.3488598050991078,0.10035734119670223,0.46777471742210697,0.15333268186046442,0.32888637445273605,0.11477908108176926,0.38939393939393935,0.0783119854465793,0.44255766099135474,0.16924676951042306,0.5180645161290323,0.12863451241682766
Transcript_SFT,bilstm,100,64,0.3,0.0,64,0.001,0.5331182795698924,0.10274169634740882,0.3852522187895505,0.1336065921507895,0.4733129314870145,0.16391559635822797,0.3661881888488604,0.15625525362268192,0.43368686868686873,0.08859449642878302,0.44851735295152617,0.1942631130773971,0.5331182795698924,0.10274169634740882
Transcript_SFT,bilstm,100,128,0.3,0.0,0,0.001,0.5726881720430107,0.048162441439428764,0.4744824422521222,0.09675266697083872,0.5495763869609578,0.06560113445784654,0.5332595912859069,0.0821146261559834,0.527020202020202,0.08838423520834439,0.6288767747532603,0.07555819592344888,0.5726881720430107,0.048162441439428764
Transcript_SFT,bilstm,100,128,0.3,0.0,64,0.001,0.5126881720430108,0.03158729121218294,0.3427386652191281,0.04628027564911073,0.43032924196405953,0.03245222934541696,0.3450292126016764,0.06415113935610964,0.4087878787878788,0.060799701174360544,0.4266413425933061,0.09244988078543957,0.5126881720430108,0.03158729121218294
Transcript_SFT,bilstm,200,64,0.3,0.0,0,0.001,0.5458064516129032,0.08335268592490619,0.3631287953972832,0.10967799908109566,0.4878116510595166,0.11532631701025661,0.3430178034067977,0.1210219498012061,0.40393939393939393,0.08801301718936833,0.45867266898560893,0.1371631366416616,0.5458064516129032,0.08335268592490619
Transcript_SFT,bilstm,200,64,0.3,0.0,64,0.001,0.5118279569892474,0.08587891407669436,0.33467872253494846,0.1160686239256452,0.44976768170142634,0.10179078603431234,0.36756474519632415,0.1640923148794345,0.36729797979797985,0.09447833346507181,0.4688511601584606,0.16358263379892723,0.5118279569892474,0.08587891407669436
Transcript_SFT,bilstm,200,128,0.3,0.0,0,0.001,0.5382795698924732,0.08639595919003283,0.41599578100761325,0.13263397723341702,0.5121064678150764,0.08850390416964865,0.47033174943391665,0.14970330383940947,0.43381313131313126,0.13238655089267737,0.5711805536502181,0.12014250480977189,0.5382795698924732,0.08639595919003283
Transcript_SFT,bilstm,200,128,0.3,0.0,64,0.001,0.4404301075268817,0.04501563814040753,0.3193986398730232,0.03889971952814497,0.41355835685265807,0.03396389387016209,0.31212083238399024,0.04920551866556493,0.3542929292929292,0.04063703339083545,0.4093442072924246,0.04745592088805813,0.4404301075268817,0.04501563814040753
