transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro
Transcript_PFT,bilstm,100,16,0.3,0.0,64,0.001,0.5542338709677419,0.049211723242277405,0.4746880273484894,0.09634572473874327,0.47484337678904476,0.09881028168736937,0.6482812384130515,0.1154561436056363,0.5546813725490196,0.042717114817229215
Transcript_PFT,bilstm,100,16,0.3,0.0,64,0.0005,0.5477822580645161,0.051577057234651086,0.5031778008496102,0.09991913692733007,0.5070043502547008,0.09264656337619177,0.5367439792008758,0.09240230873665736,0.5432598039215686,0.06376642491819161
Transcript_PFT,bilstm,100,16,0.3,0.1,0,0.001,0.572983870967742,0.03926019820850996,0.5386075130213062,0.07782143098430162,0.5421751701691218,0.07043952872532956,0.621664237091182,0.09691063441991099,0.5683088235294118,0.04563183135777265
Transcript_PFT,bilstm,100,16,0.3,0.1,0,0.0005,0.5473790322580645,0.11164968714904071,0.5118659952955626,0.1488505514394169,0.5136417433109741,0.1457604732239033,0.5278715728715728,0.18732376741072418,0.5459313725490196,0.11591344221495936
Transcript_PFT,bilstm,100,16,0.3,0.1,64,0.001,0.5411290322580645,0.03952975612632675,0.4584656088712492,0.11226445872180663,0.46342521596703123,0.1132311406278846,0.4419918947539916,0.17348168554035986,0.5327696078431373,0.033288202940640985
Transcript_PFT,bilstm,100,16,0.3,0.1,64,0.0005,0.5344758064516129,0.08102982856050767,0.5048224314163594,0.08806943280439235,0.5061023045581869,0.08569234630754638,0.5647746259588364,0.15285670395521497,0.5337009803921567,0.08273102693758168
Transcript_PFT,bilstm,100,128,0.3,0.0,0,0.001,0.5862903225806451,0.06137449123029301,0.5419660615442349,0.10488917557788581,0.5412920684171183,0.10827608087990469,0.6477456709956709,0.06953726429737353,0.5880147058823529,0.05785309350588514
Transcript_PFT,bilstm,100,128,0.3,0.0,0,0.0005,0.5538306451612903,0.062008669692757944,0.5016635016719003,0.1168448706171187,0.5051418071326499,0.1151984970331453,0.5021994833123864,0.1483998787019216,0.5483088235294117,0.060816079223494975
Transcript_PFT,bilstm,100,128,0.3,0.0,64,0.001,0.572983870967742,0.06436474173946746,0.5245997070636996,0.09422175262039954,0.5303004139079267,0.08860038478646687,0.6235877492216535,0.11547959891450302,0.5637745098039215,0.06897858568471961
Transcript_PFT,bilstm,100,128,0.3,0.0,64,0.0005,0.5542338709677419,0.08731957017821503,0.5002822958887032,0.11601217870495056,0.5047335368059513,0.1187790117857446,0.5477858711336973,0.12778185251185145,0.5455882352941176,0.08158705007067547
Transcript_PFT,bilstm,100,128,0.3,0.1,0,0.001,0.5409274193548387,0.05264954112374677,0.5044037610977213,0.05766195148551155,0.5081260616952032,0.059030793871222335,0.5469007803790412,0.05832747526940737,0.5342892156862745,0.04630945683122485
Transcript_PFT,bilstm,100,128,0.3,0.1,0,0.0005,0.5602822580645161,0.06984221337035607,0.5375676276694189,0.07167425210585154,0.5408632785024746,0.07095089126335562,0.5725002533698186,0.09191390213823608,0.5544607843137255,0.0698198558557837
Transcript_PFT,bilstm,100,128,0.3,0.1,64,0.001,0.5987903225806451,0.07671894189693727,0.5517160015019754,0.1170303319877869,0.5550769951123256,0.1098333556324013,0.6619404243878297,0.11775609816950362,0.595343137254902,0.08668608656968775
Transcript_PFT,bilstm,100,128,0.3,0.1,64,0.0005,0.5411290322580645,0.07147454667264672,0.4841929525433362,0.13323425455136628,0.47862620036326825,0.13997079887420774,0.5422823833290227,0.19067841662594726,0.5509558823529412,0.06417629011554812
Transcript_PFT,bilstm,200,16,0.3,0.0,0,0.001,0.5473790322580645,0.07806481813124735,0.5370408369198691,0.08392932242976224,0.5390255347513413,0.08408616675248314,0.5445729029424682,0.08154304954940388,0.5441421568627451,0.07659016660905875
Transcript_PFT,bilstm,200,16,0.3,0.0,0,0.0005,0.5669354838709677,0.073216996459152,0.5270680567679166,0.12522214714850619,0.5234764638509379,0.12936149851474193,0.5348048456919425,0.1749993975806348,0.574436274509804,0.06788406018117982
Transcript_PFT,bilstm,200,16,0.3,0.0,64,0.001,0.5665322580645161,0.07079455591161066,0.5443677877849705,0.09595864402990124,0.5462112511311054,0.09181289813904164,0.5651132261956396,0.0826446121300036,0.5649754901960784,0.07697958392529175
Transcript_PFT,bilstm,200,16,0.3,0.0,64,0.0005,0.5344758064516129,0.09744496198647348,0.5153626163108922,0.12477740751285664,0.5134815138513693,0.12816235561776296,0.5223372379254733,0.12097868477811587,0.5383823529411764,0.09254022882965787
Transcript_PFT,bilstm,200,16,0.3,0.1,0,0.001,0.573991935483871,0.08006850279903245,0.5685295127455371,0.07842857087073522,0.5671458435128526,0.07807489729391189,0.5878794743268427,0.08777603243726552,0.5785539215686275,0.08163310222862682
Transcript_PFT,bilstm,200,16,0.3,0.1,0,0.0005,0.5544354838709677,0.09929051695546802,0.5508820446640247,0.09805509020219302,0.5496461516483764,0.09768902587537623,0.5641414141414142,0.10900684775678843,0.5586519607843137,0.10088001269222917
Transcript_PFT,bilstm,200,16,0.3,0.1,64,0.001,0.5800403225806451,0.11078991342515516,0.5350967984768826,0.16708755949132778,0.5295971333909623,0.17471854863410036,0.5492942869555772,0.19885404217839522,0.5899754901960783,0.10031610038830502
Transcript_PFT,bilstm,200,16,0.3,0.1,64,0.0005,0.5663306451612903,0.07622194388395308,0.5286711314619892,0.12531316134967904,0.5329514879063163,0.11720552991508935,0.5159230584946529,0.16048297223689773,0.5613235294117647,0.08355226431845669
Transcript_PFT,bilstm,200,128,0.3,0.0,0,0.001,0.5858870967741935,0.07514443147316771,0.5478494658051308,0.13162848749009248,0.5520089231971482,0.1228792557138253,0.5367839635854341,0.1687795006896254,0.5812745098039216,0.08471964495074652
Transcript_PFT,bilstm,200,128,0.3,0.0,0,0.0005,0.541733870967742,0.04289666909636407,0.5322760784087783,0.04215447015032035,0.5321560867287414,0.04121143413020974,0.5491781514950851,0.049430685621878453,0.5432843137254901,0.04568362161467873
Transcript_PFT,bilstm,200,128,0.3,0.0,64,0.001,0.5856854838709677,0.09604162410847902,0.5589450114313997,0.10529575699691442,0.5629425514184896,0.10339198799675427,0.5990166434872318,0.11357252406365966,0.5783578431372549,0.09753841915750673
Transcript_PFT,bilstm,200,128,0.3,0.0,64,0.0005,0.5725806451612903,0.0998976168457327,0.5143405860226137,0.13853580989394898,0.5181931782162197,0.1328258752981851,0.5451766150516151,0.18867690277233845,0.5680392156862746,0.10314621998658115
Transcript_PFT,bilstm,200,128,0.3,0.1,0,0.001,0.5223790322580645,0.037068822744551984,0.4475579256853271,0.09439866924296636,0.44772348062254785,0.09615809441628759,0.477968377562371,0.1523695949046589,0.5229656862745097,0.0411107303761062
Transcript_PFT,bilstm,200,128,0.3,0.1,0,0.0005,0.5288306451612903,0.062376308404362056,0.49781110979853543,0.11289286940255913,0.4931846834256758,0.12024540504187735,0.4943145880052901,0.15692313918919806,0.5374754901960784,0.05619553409900157
Transcript_PFT,bilstm,200,128,0.3,0.1,64,0.001,0.541733870967742,0.0536722176352878,0.5106445292598851,0.11216689365910225,0.5061621477691969,0.1203013278817884,0.49852311066126853,0.15266043534499799,0.5499754901960785,0.04584450555875756
Transcript_PFT,bilstm,200,128,0.3,0.1,64,0.0005,0.5796370967741935,0.03317436022561358,0.5456528028923046,0.048029142400955335,0.5471513894846334,0.04687614201609782,0.6340831045516203,0.0887424009349485,0.5777450980392157,0.02864065238353082
Transcript_CTD,lstm,100,16,0.3,0.0,0,0.001,0.5899193548387097,0.14773975646371687,0.579407408896573,0.14160893252387638,0.5793097836448979,0.14497946889636756,0.6161627106983144,0.17733995704925054,0.5898529411764707,0.13971744878160622
Transcript_CTD,lstm,100,16,0.3,0.0,0,0.0005,0.6221774193548386,0.04275905013405096,0.5907878802770444,0.06492609061110079,0.5975336870870178,0.05893227115134272,0.6412903918693392,0.05428370411221729,0.6091491596638654,0.049883797710040687
Transcript_CTD,lstm,100,16,0.3,0.0,64,0.001,0.6286290322580645,0.06299233762431466,0.6109027807575902,0.07296670628051513,0.6142676773308763,0.07032071796985866,0.6456549006549006,0.07337358605947551,0.6227941176470588,0.06762912921314042
